post_id,date,url,title_first_line,topic,subtopic,deity_archetype,place,ritual_practice,initiation_stage,cosmology,calendar_time,historical_material,mythology,author_interpretation,therapeutic_archetypal_interpretation,knowledge_level,duplicate_of,series_id,included_in_chapter
15,28.12.2022 13:35:09 UTC-05:00,https://t.me/mayaismagic/15,"Жизнь это лишь точка,",,,,,,,,,,,,,,,,
16,28.12.2022 16:14:51 UTC-05:00,https://t.me/mayaismagic/16,Quetzalcoatl.,,,,,,,,,,,,,,,,
17,30.12.2022 01:26:14 UTC-05:00,https://t.me/mayaismagic/17,ЭНЕРГИИ МАЙЯ И АЦТЕКОВ.,Maya tradition,,,майя; ацтек,,,cosmology,,,mythology,,,,,,
18,30.12.2022 01:26:25 UTC-05:00,https://t.me/mayaismagic/18,,,,,,,,,,,,,,,,,
19,30.12.2022 01:26:25 UTC-05:00,https://t.me/mayaismagic/19,,,,,,,,,,,,,,,,,
20,30.12.2022 01:26:25 UTC-05:00,https://t.me/mayaismagic/20,,,,,,,,,,,,,,,,,
21,30.12.2022 01:26:25 UTC-05:00,https://t.me/mayaismagic/21,,,,,,,,,,,,,,,,,
22,30.12.2022 01:26:25 UTC-05:00,https://t.me/mayaismagic/22,,,,,,,,,,,,,,,,,
23,30.12.2022 01:26:25 UTC-05:00,https://t.me/mayaismagic/23,,,,,,,,,,,,,,,,,
24,30.12.2022 01:26:25 UTC-05:00,https://t.me/mayaismagic/24,,,,,,,,,,,,,,,,,
25,06.01.2023 15:10:54 UTC-05:00,https://t.me/mayaismagic/25,Ацтекское посвящение страхом.,,,,ацтек,ritual/practice,,,,,mythology,,,,,,
26,06.01.2023 15:11:11 UTC-05:00,https://t.me/mayaismagic/26,,,,,,,,,,,,,,,,,
27,25.01.2023 23:27:16 UTC-05:00,https://t.me/mayaismagic/27,https://youtube.com/shorts/LQUKxHlDBfk?feature=share,,,,,,,,,,,,,,,,
28,25.01.2023 23:27:25 UTC-05:00,https://t.me/mayaismagic/28,https://youtu.be/5JWC1rv-_Ow,,,,,,,,,,,,,,,,
29,25.01.2023 23:27:37 UTC-05:00,https://t.me/mayaismagic/29,https://youtube.com/shorts/YoRBSX3HO2s?feature=share,,,,,,,,,,,,,,,,
30,14.03.2023 10:47:06 UTC-05:00,https://t.me/mayaismagic/30,Привет. Можно сюда скидывать фото и полезную инфо,,,,,,,,,,,,,,,,
31,14.03.2023 10:47:06 UTC-05:00,https://t.me/mayaismagic/31,,,,,,,,,,,,,,,,,
32,14.03.2023 10:47:06 UTC-05:00,https://t.me/mayaismagic/32,Пять кодексов эгрегора Майя/ Каналы Богов. (Мое восприятие ценностей-установок эгрегора).,Maya tradition,,,майя,,,cosmology,calendar,,mythology,explicit author interpretation,,,,,
33,14.03.2023 10:47:06 UTC-05:00,https://t.me/mayaismagic/33,,,,,,,,,,,,,,,,,
34,14.03.2023 10:47:06 UTC-05:00,https://t.me/mayaismagic/34,"Концепция жизни, крови и первоматерии в Традиции Майя.",Maya tradition,,кетцалькоатль,майя; ацтек,ritual/practice,,,,,mythology,,,,,,
35,14.03.2023 10:47:06 UTC-05:00,https://t.me/mayaismagic/35,,,,,,,,,,,,,,,,,
36,14.03.2023 10:47:06 UTC-05:00,https://t.me/mayaismagic/36,Часть 2. Как накопить силу?,Maya tradition,,чак,майя,ritual/practice,initiation,cosmology,,,,explicit author interpretation,,,,,
37,14.03.2023 10:47:07 UTC-05:00,https://t.me/mayaismagic/37,,,,,,,,,,,,,,,,,
38,14.03.2023 10:47:07 UTC-05:00,https://t.me/mayaismagic/38,,,,,,,,,,,,,,,,,
39,14.03.2023 10:47:07 UTC-05:00,https://t.me/mayaismagic/39,,,,,,,,,,,,,,,,,
40,14.03.2023 10:47:07 UTC-05:00,https://t.me/mayaismagic/40,,,,,,,,,,,,,,,,,
41,14.03.2023 10:47:07 UTC-05:00,https://t.me/mayaismagic/41,Часть 3. Сила К'ух и ритуал кропопускания.,Maya tradition,shamanism,,майя,ritual/practice,,cosmology,,,,,,,,,
42,17.06.2023 13:53:48 UTC-05:00,https://t.me/mayaismagic/42,"Принц тласкальтеки, который хотел победить испанцев",,,,,,,,,,,,,,,,
43,19.06.2023 09:47:28 UTC-05:00,https://t.me/mayaismagic/43,,,,,,,,,,,,,,,,,
44,24.06.2023 22:04:32 UTC-05:00,https://t.me/mayaismagic/44,Интересный факт,Maya tradition,,,майя,,,,calendar,,,,,,,,
45,25.06.2023 18:48:18 UTC-05:00,https://t.me/mayaismagic/45,Храм пернатого змея. Теотиуакан. Мехико.,,,,,,,,,,,,,,,,
46,26.06.2023 00:24:22 UTC-05:00,https://t.me/mayaismagic/46,"Получаю всё больше вопросов на тему """,Maya tradition,,,майя; ацтек; инки,,,,,,,,,,,,
47,30.07.2023 13:42:41 UTC-05:00,https://t.me/mayaismagic/47,"Танцор майя, представляющий Ягуара.",Maya tradition,,,майя,,,,,,,,,,,,
48,05.08.2023 06:56:11 UTC-05:00,https://t.me/mayaismagic/48,Бог кукурузы.,Maya tradition,,,майя,,,,,,,,,,,,
49,14.08.2023 13:26:40 UTC-05:00,https://t.me/mayaismagic/49,,,,,,,,,,,,,,,,,
50,28.08.2023 15:32:05 UTC-05:00,https://t.me/mayaismagic/50,Спасибо за ваш интерес. Ниже - список наших пабликов с исследованиями и настройками по темам. Настраивайтесь и вдохновляйтесь! :),Maya tradition,,,майя; ацтек,,initiation,,,,,,,,,,
51,22.09.2023 02:25:46 UTC-05:00,https://t.me/mayaismagic/51,"Твоё лицо, когда, наконец, пришла пятница",,,,,ritual/practice,,,,,,,,,,,
52,16.10.2023 12:17:24 UTC-05:00,https://t.me/mayaismagic/52,,,,,,,,,,,,,,,,,
53,21.01.2024 22:03:29 UTC-05:00,https://t.me/mayaismagic/53,"«Лестница смерти» (15 век н.э.) представляет собой участок каменных ступеней, построенный инками (1438-1533 гг. н.э.), расположенный на вершине горы Уайна-Пикчу, на высоте 2693 м над уровнем моря (одна из крутых гор, с которых открывается вид на Мачу-Пикчу).  Перу.",,,,инки,,,,,,,,,,,,
55,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/55,ИССЛЕДОВАНИЕ: ИНКИ.,,,,инки,,,cosmology,,,,,,,,,
56,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/56,,,,,,,,,,,,,,,,,
57,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/57,,,,,,,,,,,,,,,,,
58,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/58,,,,,,,,,,,,,,,,,
59,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/59,,,,,,,,,,,,,,,,,
60,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/60,,,,,,,,,,,,,,,,,
61,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/61,,,,,,,,,,,,,,,,,
62,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/62,,,,,,,,,,,,,,,,,
63,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/63,,,,,,,,,,,,,,,,,
64,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/64,,,,,,,,,,,,,,,,,
65,21.01.2024 22:04:54 UTC-05:00,https://t.me/mayaismagic/65,"Архетип, Инков повышают чувство стабильности и силы.",,,,инки,,,,,,,,therapeutic/archetypal,,,,
66,29.01.2024 10:11:42 UTC-05:00,https://t.me/mayaismagic/66,,,,,,,,,,,,,,,,,
67,29.01.2024 10:11:42 UTC-05:00,https://t.me/mayaismagic/67,,,,,,,,,,,,,,,,,
68,29.01.2024 10:11:42 UTC-05:00,https://t.me/mayaismagic/68,Мой любимый — Тлалокан.,,,,,,,,,,,,,,,,
69,09.02.2024 00:08:21 UTC-05:00,https://t.me/mayaismagic/69,Демонстрация перуанских поющих кувшинов,,,,,,,,,,,,,,,,
72,16.03.2024 21:10:41 UTC-05:00,https://t.me/mayaismagic/72,«Женщина перед заходящим (восходящим) солнцем»,,,,,,,,,,,,,,,,
73,09.05.2024 01:01:23 UTC-05:00,https://t.me/mayaismagic/73,,,,,,,,,,,,,,,,,
74,20.05.2024 09:01:37 UTC-05:00,https://t.me/mayaismagic/74,"Аксомама – божество из мезо американского пантеона инков. Ее имя переводится как ""мать картофеля🥔"". Поклонение включало в себя развитый культ, присутствовали церемониальный терракотовые вазы. Согласно мифологии, она является дочерью Пачамамы – богини Матери-Земли, согласно ""Таблицам"" Скиннера соотносящейся с сефирой Малкут.",,,,,ritual/practice,,,,,mythology,,,,,,
75,20.05.2024 09:01:37 UTC-05:00,https://t.me/mayaismagic/75,,,,,,,,,,,,,,,,,
76,03.07.2024 08:28:20 UTC-05:00,https://t.me/mayaismagic/76,Типичный алтарь для подношений,,,,,ritual/practice,,,,,,,,,,,
77,12.07.2024 11:50:45 UTC-05:00,https://t.me/mayaismagic/77,,,,,,,,,,,,,,,,,
78,19.10.2024 00:05:38 UTC-05:00,https://t.me/mayaismagic/78,Алхимия Майя.,Maya tradition,,кукулькан,майя,ritual/practice,,,calendar,,,,,,,,
79,19.10.2024 16:11:39 UTC-05:00,https://t.me/mayaismagic/79,"Первый месяц Календаря Хааб - Pop (""поп""). Мастер.",,,,,,,,calendar,,,,,,,,
80,19.10.2024 16:39:01 UTC-05:00,https://t.me/mayaismagic/80,2 месяц: Uo (wo). Молчаливый исследователь.,,,,,,,,,,,,therapeutic/archetypal,,,,
81,19.10.2024 17:18:04 UTC-05:00,https://t.me/mayaismagic/81,4 месяц. ZOTZ. Внимательность и знания.,,,,,,,,,,,,,,,,
82,20.10.2024 19:19:43 UTC-05:00,https://t.me/mayaismagic/82,5 месяц Хааб. TZEC. 1 окт.,,,чак,,,,,calendar,,,,,,,,
83,20.10.2024 19:19:43 UTC-05:00,https://t.me/mayaismagic/83,,,,,,,,,,,,,,,,,
84,20.10.2024 19:19:43 UTC-05:00,https://t.me/mayaismagic/84,,,,,,,,,,,,,,,,,
85,20.10.2024 20:26:01 UTC-05:00,https://t.me/mayaismagic/85,ПРАКТИЧЕСКИЙ ЭФФЕКТ.,Maya tradition,,,майя,,,,calendar,,,,therapeutic/archetypal,,,,
86,21.10.2024 08:56:32 UTC-05:00,https://t.me/mayaismagic/86,В Канале Круг Пернатого змея,Maya tradition,,,майя,,,,calendar,,,,,,,,
87,21.10.2024 09:03:09 UTC-05:00,https://t.me/mayaismagic/87,Инициация и работа с Каналами Майя - это дополнительный инструмент в вашей жизни.,Maya tradition,,,майя,,initiation,,,,,,,,,,
89,24.10.2024 19:38:49 UTC-05:00,https://t.me/mayaismagic/89,"3 месяц календаря майя, Zip",Maya tradition,,,майя,,,,calendar,,,,,,,,
90,24.10.2024 19:38:49 UTC-05:00,https://t.me/mayaismagic/90,,,,,,,,,,,,,,,,,
91,25.10.2024 09:19:17 UTC-05:00,https://t.me/mayaismagic/91,"Вероятно, скоро я начну проводить Курс Мистерии Майя.",Maya tradition,,,майя,,,,,,,,,,,,
93,30.10.2024 14:06:50 UTC-05:00,https://t.me/mayaismagic/93,Есть спец-предложение:,Maya tradition,,,майя,ritual/practice,,,calendar,,,,,,,,
94,09.11.2024 16:17:58 UTC-05:00,https://t.me/mayaismagic/94,6 месяц Майя. XUL,Maya tradition,,кукулькан,майя,,,,,,,,,,,,
95,09.11.2024 16:19:28 UTC-05:00,https://t.me/mayaismagic/95,,,,,,,,,,,,,,,,,
97,10.11.2024 05:37:26 UTC-05:00,https://t.me/mayaismagic/97,,,,,,,,,,,,,,,,,
98,10.11.2024 05:38:57 UTC-05:00,https://t.me/mayaismagic/98,Забрел вчера в храм майя.,Maya tradition,,,майя,,,,,,,,,,,,
99,10.11.2024 05:38:57 UTC-05:00,https://t.me/mayaismagic/99,,,,,,,,,,,,,,,,,
100,10.11.2024 05:38:58 UTC-05:00,https://t.me/mayaismagic/100,,,,,,,,,,,,,,,,,
101,10.11.2024 05:38:58 UTC-05:00,https://t.me/mayaismagic/101,,,,,,,,,,,,,,,,,
102,10.11.2024 05:38:59 UTC-05:00,https://t.me/mayaismagic/102,,,,,,,,,,,,,,,,,
103,10.11.2024 05:38:59 UTC-05:00,https://t.me/mayaismagic/103,,,,,,,,,,,,,,,,,
104,10.11.2024 05:39:00 UTC-05:00,https://t.me/mayaismagic/104,,,,,,,,,,,,,,,,,
105,06.01.2025 09:33:35 UTC-05:00,https://t.me/mayaismagic/105,Заехал сегодня в Мериду ненадолго.,,,,,,,,,,,explicit author interpretation,,,,,
106,06.01.2025 09:33:36 UTC-05:00,https://t.me/mayaismagic/106,,,,,,,,,,,,,,,,,
107,06.01.2025 09:33:36 UTC-05:00,https://t.me/mayaismagic/107,,,,,,,,,,,,,,,,,
108,06.01.2025 09:33:37 UTC-05:00,https://t.me/mayaismagic/108,,,,,,,,,,,,,,,,,
109,06.01.2025 09:33:37 UTC-05:00,https://t.me/mayaismagic/109,,,,,,,,,,,,,,,,,
110,06.01.2025 09:33:38 UTC-05:00,https://t.me/mayaismagic/110,,,,,,,,,,,,,,,,,
111,06.01.2025 09:33:38 UTC-05:00,https://t.me/mayaismagic/111,,,,,,,,,,,,,,,,,
112,06.01.2025 09:33:39 UTC-05:00,https://t.me/mayaismagic/112,,,,,,,,,,,,,,,,,
113,06.01.2025 09:33:39 UTC-05:00,https://t.me/mayaismagic/113,,,,,,,,,,,,,,,,,
114,06.01.2025 09:34:00 UTC-05:00,https://t.me/mayaismagic/114,"Вот еще парочка мексиканских алтарей смерти - это стенды из разных регионов, посвященных Дню всех святых.",,,,,ritual/practice,,,,,,,,,,,
115,06.01.2025 09:34:00 UTC-05:00,https://t.me/mayaismagic/115,,,,,,,,,,,,,,,,,
116,06.01.2025 09:34:01 UTC-05:00,https://t.me/mayaismagic/116,,,,,,,,,,,,,,,,,
117,06.01.2025 09:34:01 UTC-05:00,https://t.me/mayaismagic/117,,,,,,,,,,,,,,,,,
118,06.01.2025 09:34:02 UTC-05:00,https://t.me/mayaismagic/118,,,,,,,,,,,,,,,,,
119,06.01.2025 09:34:02 UTC-05:00,https://t.me/mayaismagic/119,,,,,,,,,,,,,,,,,
120,06.01.2025 09:34:03 UTC-05:00,https://t.me/mayaismagic/120,,,,,,,,,,,,,,,,,
121,06.01.2025 09:34:03 UTC-05:00,https://t.me/mayaismagic/121,"Предлагаю вам поработать с Наставником, один из самых богатых и влиятельных бизнесменов Юкотана:",,,,,,,,,,,,therapeutic/archetypal,,,,
122,06.01.2025 09:34:04 UTC-05:00,https://t.me/mayaismagic/122,,,,,,,,,,,,,,,,,
123,06.01.2025 09:34:06 UTC-05:00,https://t.me/mayaismagic/123,,,,,,,,,,,,,,,,,
124,06.01.2025 09:34:06 UTC-05:00,https://t.me/mayaismagic/124,,,,,,,,,,,,,,,,,
125,06.01.2025 09:34:07 UTC-05:00,https://t.me/mayaismagic/125,Для настройки на местную культуру предложу еще несколько видео народных танцев.,,,,,,,,,,,,,,,,
126,06.01.2025 09:34:07 UTC-05:00,https://t.me/mayaismagic/126,,,,,,,,,,,,,,,,,
127,06.01.2025 09:34:08 UTC-05:00,https://t.me/mayaismagic/127,,,,,,,,,,,,,,,,,
128,06.01.2025 09:34:08 UTC-05:00,https://t.me/mayaismagic/128,,,,,,,,,,,,,,,,,
129,06.01.2025 09:34:09 UTC-05:00,https://t.me/mayaismagic/129,,,,,,,,,,,,,,,,,
130,06.01.2025 09:34:09 UTC-05:00,https://t.me/mayaismagic/130,,,,,,,,,,,,,,,,,
131,06.01.2025 09:34:10 UTC-05:00,https://t.me/mayaismagic/131,,,,,,,,,,,,,,,,,
132,06.01.2025 09:34:13 UTC-05:00,https://t.me/mayaismagic/132,,,,,,,,,,,,,,,,,
133,06.01.2025 09:34:14 UTC-05:00,https://t.me/mayaismagic/133,Начну серию заметок о древней культуре майя.,Maya tradition,,кукулькан,майя,,,,calendar,,,,,,,,
134,06.01.2025 09:34:14 UTC-05:00,https://t.me/mayaismagic/134,Вот некоторые предметы периода Майя из Мериды.,Maya tradition,,,майя,,,cosmology,,,,,,,,,
135,06.01.2025 09:34:15 UTC-05:00,https://t.me/mayaismagic/135,,,,,,,,,,,,,,,,,
136,06.01.2025 09:34:15 UTC-05:00,https://t.me/mayaismagic/136,,,,,,,,,,,,,,,,,
137,06.01.2025 09:34:16 UTC-05:00,https://t.me/mayaismagic/137,,,,,,,,,,,,,,,,,
138,06.01.2025 09:34:16 UTC-05:00,https://t.me/mayaismagic/138,,,,,,,,,,,,,,,,,
139,06.01.2025 09:34:17 UTC-05:00,https://t.me/mayaismagic/139,,,,,,,,,,,,,,,,,
140,06.01.2025 09:34:17 UTC-05:00,https://t.me/mayaismagic/140,,,,,,,,,,,,,,,,,
141,06.01.2025 09:34:25 UTC-05:00,https://t.me/mayaismagic/141,ЭЛИТНЫЕ ВОЕННЫЕ КЛАНЫ МАЙЯ,Maya tradition,,,майя,ritual/practice,,cosmology,,,,,,,,,
142,06.01.2025 09:34:25 UTC-05:00,https://t.me/mayaismagic/142,КИНИЧ АХАУ.,Maya tradition,,,майя,,,,,,,,,,,,
143,06.01.2025 09:34:26 UTC-05:00,https://t.me/mayaismagic/143,ДВОЙНИКИ ЧЕЛОВЕКА В ТРАДИЦИИ МАЙЯ,Maya tradition,,,майя,,,,,,,,,,,,
144,06.01.2025 09:34:26 UTC-05:00,https://t.me/mayaismagic/144,ДВОЙНИКИ ЧЕЛОВЕКА.,Maya tradition,shamanism,,майя,ritual/practice,,,,,,,,,,,
145,06.01.2025 09:34:27 UTC-05:00,https://t.me/mayaismagic/145,ЭГРЕГОР МАЙЯ.,Maya tradition,,,майя,ritual/practice,,cosmology,,,,,,,,,
146,06.01.2025 09:34:27 UTC-05:00,https://t.me/mayaismagic/146,ЭНЕРГИИ МАЙЯ.,Maya tradition,,,майя,,,,,,,,,,,,
147,06.01.2025 09:34:28 UTC-05:00,https://t.me/mayaismagic/147,"2 года назад написал заметку. Возможно, можно повторить.",Maya tradition,,,майя; ацтек,,,cosmology,,,mythology,,,,,,
148,06.01.2025 09:34:36 UTC-05:00,https://t.me/mayaismagic/148,ЭКЗОРЦИЗМ,,,,,,,cosmology,,,,,,,,,
149,06.01.2025 09:34:36 UTC-05:00,https://t.me/mayaismagic/149,#2. ГРЕЧЕСКАЯ ТРАДИЦИЯ.,,,,,,,,,,,,,,,,
150,06.01.2025 09:34:37 UTC-05:00,https://t.me/mayaismagic/150,#3. СКАНДИНАВСКАЯ ТРАДИЦИЯ.,,,,,,,,,,,,,,,,
151,06.01.2025 09:34:37 UTC-05:00,https://t.me/mayaismagic/151,#4. ДАОССКАЯ ТРАДИЦИЯ.,,,,,,,,,,,,,,,,
152,06.01.2025 09:34:38 UTC-05:00,https://t.me/mayaismagic/152,#5. ТРАДИЦИЯ МАЙЯ.,Maya tradition,,,майя,,,cosmology,,,,,,,,,
153,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/153,АКЦИЯ. Место Силы Майя. Сила Рода.,Maya tradition,,,майя,,,,,,,,therapeutic/archetypal,,,,
154,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/154,ПОДАРОК. Определение своей сути и миссии в Традиции Майя.,Maya tradition,shamanism,,майя,,initiation,,calendar,,,,,,,,
155,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/155,Энергии Майя.,Maya tradition,,,майя,,initiation,cosmology,calendar,,,,,,,,
156,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/156,Традиция Майя,Maya tradition,,,майя,,,cosmology,,,,,,,,,
157,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/157,ЭКОРЦИЗМ В РАЗНЫХ ТРАДИЦИЯХ,,,,,ritual/practice,,,,,,,,,,,
158,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/158,#2. ГРЕЧЕСКАЯ ТРАДИЦИЯ.,,,,,,,,,,,,,,,,
159,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/159,#3. ТРАДИЦИЯ МАЙЯ.,Maya tradition,,,майя,,,,,,,,,,,,
160,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/160,#4. СЕВЕРНАЯ СКАНДИНАВСКАЯ ТРАДИЦИЯ.,,,,,,,,,,,,,,,,
161,11.02.2025 20:57:43 UTC-05:00,https://t.me/mayaismagic/161,2. ЭНЕРГИЯ ИК' (Ветер).,Maya tradition,,,майя,,,cosmology,,,,,,,,,
162,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/162,Забрел вчера в храм майя.,Maya tradition,,,майя,,,,,,,,,,,,
163,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/163,,,,,,,,,,,,,,,,,
164,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/164,,,,,,,,,,,,,,,,,
165,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/165,,,,,,,,,,,,,,,,,
166,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/166,,,,,,,,,,,,,,,,,
167,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/167,,,,,,,,,,,,,,,,,
168,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/168,,,,,,,,,,,,,,,,,
169,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/169,Заехал сегодня в Мериду ненадолго.,,,,,,,,,,,explicit author interpretation,,,,,
170,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/170,,,,,,,,,,,,,,,,,
171,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/171,,,,,,,,,,,,,,,,,
172,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/172,,,,,,,,,,,,,,,,,
173,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/173,,,,,,,,,,,,,,,,,
174,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/174,,,,,,,,,,,,,,,,,
175,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/175,,,,,,,,,,,,,,,,,
176,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/176,,,,,,,,,,,,,,,,,
177,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/177,,,,,,,,,,,,,,,,,
178,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/178,"Вот еще парочка мексиканских алтарей смерти - это стенды из разных регионов, посвященных Дню всех святых.",,,,,ritual/practice,,,,,,,,,,,
179,11.02.2025 21:03:14 UTC-05:00,https://t.me/mayaismagic/179,,,,,,,,,,,,,,,,,
180,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/180,,,,,,,,,,,,,,,,,
181,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/181,,,,,,,,,,,,,,,,,
182,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/182,,,,,,,,,,,,,,,,,
183,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/183,,,,,,,,,,,,,,,,,
184,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/184,,,,,,,,,,,,,,,,,
185,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/185,"Предлагаю вам поработать с Наставником, один из самых богатых и влиятельных бизнесменов Юкотана:",,,,,,,,,,,,therapeutic/archetypal,,,,
186,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/186,,,,,,,,,,,,,,,,,
187,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/187,,,,,,,,,,,,,,,,,
188,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/188,,,,,,,,,,,,,,,,,
189,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/189,Для настройки на местную культуру предложу еще несколько видео народных танцев.,,,,,,,,,,,,,,,,
190,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/190,,,,,,,,,,,,,,,,,
191,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/191,,,,,,,,,,,,,,,,,
192,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/192,,,,,,,,,,,,,,,,,
193,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/193,,,,,,,,,,,,,,,,,
194,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/194,,,,,,,,,,,,,,,,,
195,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/195,,,,,,,,,,,,,,,,,
196,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/196,,,,,,,,,,,,,,,,,
197,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/197,Начну серию заметок о древней культуре майя.,Maya tradition,,кукулькан,майя,,,,calendar,,,,,,,,
198,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/198,Вот некоторые предметы периода Майя из Мериды.,Maya tradition,,,майя,,,cosmology,,,,,,,,,
199,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/199,,,,,,,,,,,,,,,,,
200,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/200,,,,,,,,,,,,,,,,,
201,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/201,,,,,,,,,,,,,,,,,
202,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/202,,,,,,,,,,,,,,,,,
203,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/203,,,,,,,,,,,,,,,,,
204,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/204,,,,,,,,,,,,,,,,,
